type,dateTime,gameMode,player,pl_tag,pl_crowns,pl_deck,opponent,op_tag,op_crowns,op_deck
challenge,20221027T002721.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,1,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,Essam♥️Fio,#2CYLVL2L,0,Barbarian Barrel;Battle Healer;Earthquake;Electro Giant;Monk;Phoenix;Tornado;Zappies
challenge,20221027T002207.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,1,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,adriel,#9CPCC890,0,Elixir Collector;Fireball;Ice Golem;Ice Spirit;Miner;Mirror;Phoenix;Skeletons
challenge,20221027T001705.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,1,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,fhkfx,#L9G29JGYP,0,Barbarian Barrel;Graveyard;Phoenix;Poison;Skeleton King;Skeletons;Tombstone;Zappies
challenge,20221026T235850.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,1,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,karter,#90JJLVG82,0,Battle Healer;Electro Dragon;Elixir Golem;Mirror;Phoenix;Rage;Rocket;Tornado
challenge,20221026T235524.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,1,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,名前どうしよう,#L2J92PVGU,3,Arrows;Battle Healer;Electro Dragon;Elixir Golem;Mirror;Phoenix;Rage;Tornado
friendly,20221110T113933.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Bats;Bomb Tower;Bomber;Earthquake;Mega Knight;Miner;Tornado;Zappies,CMG ah craaaap,#2PLQLRGQR,0,Dart Goblin;Fisherman;Freeze;Minion Horde;Royal Giant;Royal Recruits;Sparky;Zap
friendly,20221110T113253.000Z,Draft_Competitive,thegod_rf,#228RR0GR,0,Minion Horde;Mortar;Mother Witch;Princess;Rocket;Royal Ghost;Skeleton Army;Zap,CMG ah craaaap,#2PLQLRGQR,1,Arrows;Electro Giant;Fisherman;Lightning;Night Witch;Phoenix;Tombstone;Witch
friendly,20221110T112714.000Z,Draft_Competitive,thegod_rf,#228RR0GR,0,Bats;Cannon;Earthquake;Executioner;Fire Spirit;Mother Witch;The Log;Wall Breakers,CMG ah craaaap,#2PLQLRGQR,1,Bowler;Fireball;Giant;Giant Snowball;Lumberjack;Phoenix;Skeletons;Witch
friendly,20221110T112143.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Cannon Cart;Electro Dragon;Ice Golem;Ice Wizard;Poison;Tesla;The Log;X-Bow,CMG ah craaaap,#2PLQLRGQR,0,Balloon;Executioner;Fireball;Mini P.E.K.K.A;Phoenix;Prince;Royal Delivery;Sparky
friendly,20221110T111641.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Bandit;Elite Barbarians;Firecracker;Inferno Dragon;Lightning;Prince;Royal Hogs;The Log,CMG ah craaaap,#2PLQLRGQR,0,Bats;Bomber;Graveyard;Miner;P.E.K.K.A;Phoenix;Rocket;Royal Delivery
friendly,20221110T111240.000Z,Draft_Competitive,thegod_rf,#228RR0GR,0,Archers;Cannon Cart;Giant Snowball;Goblin Cage;Goblin Giant;Musketeer;Poison;Prince,CMG ah craaaap,#2PLQLRGQR,1,Balloon;Bomb Tower;Bomber;Electro Wizard;Knight;Lightning;Minions;The Log
friendly,20221110T110704.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Barbarian Barrel;Goblins;Lava Hound;Mega Minion;Mother Witch;Poison;Prince;Skeleton Dragons,CMG ah craaaap,#2PLQLRGQR,0,Arrows;Cannon Cart;Fireball;Fisherman;Guards;Phoenix;Royal Hogs;Zappies
challenge,20221110T110242.000Z,Challenge_AllCards_EventDeck,thegod_rf,#228RR0GR,1,Archer Queen;Bomb Tower;Earthquake;Giant Skeleton;Hog Rider;Ice Spirit;Skeletons;The Log,Jolige Jager,#98QPLLV8,0,Barbarian Barrel;Graveyard;Monk;Phoenix;Poison;Skeletons;Tombstone;Zappies
challenge,20221110T105054.000Z,Challenge_AllCards_EventDeck,thegod_rf,#228RR0GR,1,Archer Queen;Bomb Tower;Earthquake;Giant Skeleton;Hog Rider;Ice Spirit;Skeletons;The Log,LHT_ale,#QRPLP0CUU,0,Fireball;Fisherman;Mother Witch;Phoenix;Royal Giant;Skeleton King;The Log;Zappies
challenge,20221110T051028.000Z,Challenge_AllCards_EventDeck,thegod_rf,#228RR0GR,0,Archer Queen;Bomb Tower;Earthquake;Giant Skeleton;Hog Rider;Ice Spirit;Skeletons;The Log,なのは,#CC80PCUUP,1,Electro Spirit;Fisherman;Hunter;Lightning;Monk;Royal Ghost;Royal Giant;The Log
